
开始回测股票: 605300 - 佳禾食品
交易时间: 2025-02-25 09:31:00 | 类型: 买入 | 价格: 14.51 | 数量: 300 | 成交额: 4353.86 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-25 09:31:00 | 类型: 卖出 | 价格: 14.66 | 数量: 300 | 成交额: 4397.40 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.58
交易时间: 2025-02-25 09:31:00 | 类型: 买入 | 价格: 14.51 | 数量: 300 | 成交额: 4353.43 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-25 09:31:00 | 类型: 卖出 | 价格: 14.66 | 数量: 300 | 成交额: 4396.96 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.58
交易时间: 2025-02-25 09:32:00 | 类型: 买入 | 价格: 14.51 | 数量: 300 | 成交额: 4352.99 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-25 09:33:00 | 类型: 卖出 | 价格: 14.66 | 数量: 300 | 成交额: 4396.52 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.58
交易时间: 2025-02-25 09:36:00 | 类型: 卖出 | 价格: 14.80 | 数量: 300 | 成交额: 4440.49 | 印花税: 4.44 | 佣金: 1.33 | 盈亏: 73.98
交易时间: 2025-02-25 09:36:00 | 类型: 卖出 | 价格: 14.95 | 数量: 300 | 成交额: 4484.89 | 印花税: 4.48 | 佣金: 1.35 | 盈亏: 118.82
交易时间: 2025-02-25 09:36:00 | 类型: 买入 | 价格: 14.80 | 数量: 300 | 成交额: 4440.04 | 印花税: 0.00 | 佣金: 1.33 | 盈亏: 0.00
交易时间: 2025-02-25 09:36:00 | 类型: 卖出 | 价格: 14.95 | 数量: 300 | 成交额: 4484.44 | 印花税: 4.48 | 佣金: 1.35 | 盈亏: 118.81
交易时间: 2025-02-25 09:36:00 | 类型: 买入 | 价格: 14.80 | 数量: 300 | 成交额: 4439.60 | 印花税: 0.00 | 佣金: 1.33 | 盈亏: 0.00
交易时间: 2025-02-25 09:36:00 | 类型: 卖出 | 价格: 14.95 | 数量: 300 | 成交额: 4484.00 | 印花税: 4.48 | 佣金: 1.35 | 盈亏: 118.80
交易时间: 2025-02-25 09:36:00 | 类型: 买入 | 价格: 14.80 | 数量: 300 | 成交额: 4439.16 | 印花税: 0.00 | 佣金: 1.33 | 盈亏: 0.00
交易时间: 2025-02-25 09:36:00 | 类型: 卖出 | 价格: 14.95 | 数量: 300 | 成交额: 4483.55 | 印花税: 4.48 | 佣金: 1.35 | 盈亏: 118.79
交易时间: 2025-02-25 09:36:00 | 类型: 买入 | 价格: 14.80 | 数量: 300 | 成交额: 4438.71 | 印花税: 0.00 | 佣金: 1.33 | 盈亏: 0.00
交易时间: 2025-02-25 09:36:00 | 类型: 卖出 | 价格: 14.94 | 数量: 300 | 成交额: 4483.10 | 印花税: 4.48 | 佣金: 1.34 | 盈亏: 118.77
交易时间: 2025-02-25 09:36:00 | 类型: 买入 | 价格: 14.79 | 数量: 300 | 成交额: 4438.27 | 印花税: 0.00 | 佣金: 1.33 | 盈亏: 0.00
交易时间: 2025-02-25 09:36:00 | 类型: 卖出 | 价格: 14.94 | 数量: 300 | 成交额: 4482.65 | 印花税: 4.48 | 佣金: 1.34 | 盈亏: 118.76
交易时间: 2025-02-25 09:36:00 | 类型: 买入 | 价格: 14.79 | 数量: 300 | 成交额: 4437.82 | 印花税: 0.00 | 佣金: 1.33 | 盈亏: 0.00
